Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1882437256.1491726898,2,00:01:24,50.00%,$0.00,0,0.00%
192561214.1491581761,2,00:00:10,50.00%,$0.00,0,0.00%
1928988112.1489015907,2,00:01:28,50.00%,$0.00,0,0.00%
1981193250.1459745664,2,00:08:07,50.00%,$0.00,0,0.00%
2014584270.1491412536,2,00:03:34,0.00%,$0.00,0,0.00%
2032880714.1491321772,2,00:00:30,50.00%,$0.00,0,0.00%
2052504604.1491596237,2,00:12:56,0.00%,$0.00,0,0.00%
2134321277.1491620343,2,00:00:19,50.00%,$0.00,0,0.00%
389446487.1478057950,2,00:03:29,50.00%,$0.00,0,0.00%
39920901.1491759474,2,00:15:18,0.00%,$0.00,0,0.00%
473784242.1469660083,2,00:11:47,50.00%,$0.00,0,0.00%
487529900.1491254061,2,00:06:23,0.00%,$0.00,0,0.00%
488409483.1481363514,2,00:05:14,0.00%,$0.00,0,0.00%
554278441.1491361227,2,00:01:46,0.00%,$0.00,0,0.00%
618446811.1489444737,2,00:00:00,100.00%,$0.00,0,0.00%
629285753.1491611470,2,00:00:24,50.00%,$0.00,0,0.00%
631086363.1491314983,2,00:00:51,0.00%,$0.00,0,0.00%
643191985.1476065696,2,00:27:43,0.00%,$0.00,0,0.00%
767152989.1491306066,2,00:00:35,0.00%,$0.00,0,0.00%
822906033.1491092295,2,00:00:00,100.00%,$0.00,0,0.00%
922414640.1491250981,2,00:00:23,50.00%,$0.00,0,0.00%
931249652.1490785355,2,00:02:18,50.00%,$0.00,0,0.00%
98789695.1491380360,2,00:00:00,100.00%,$0.00,0,0.00%
998821817.1491751497,2,00:00:00,100.00%,$0.00,0,0.00%
1000404673.1460823558,1,00:00:00,100.00%,$0.00,0,0.00%
1001486257.1459064308,1,00:00:52,0.00%,$0.00,0,0.00%
1001854192.1491774795,1,00:00:00,100.00%,$0.00,0,0.00%
1002842927.1491664319,1,00:00:50,0.00%,$0.00,0,0.00%
100692453.1349047940,1,00:00:00,100.00%,$0.00,0,0.00%
